T  Ainit D Etat
6 45 0.09  1
6 45 0.1  1
6 46 0  1
6 46 0.01  1
6 46 0.02  1
6 46 0.03  1
6 46 0.04  1
6 46 0.05  1
6 46 0.06  1
6 46 0.07  1
6 46 0.08  1
6 46 0.09  1
6 46 0.1  1
6 47 0  1
6 47 0.01  1
6 47 0.02  1
6 47 0.03  1
6 47 0.04  1
6 47 0.05  1
6 47 0.06  1
6 47 0.07  1
6 47 0.08  1
6 47 0.09  1
6 47 0.1  1
6 48 0  1
6 48 0.01  1
6 48 0.02  1
6 48 0.03  1
6 48 0.04  1
6 48 0.05  1
6 48 0.06  1
6 48 0.07  1
6 48 0.08  1
6 48 0.09  1
6 48 0.1  1
6 49 0  1
6 49 0.01  1
6 49 0.02  1
6 49 0.03  1
6 49 0.04  1
6 49 0.05  1
6 49 0.06  1
6 49 0.07  1
6 49 0.08  1
6 49 0.09  1
6 49 0.1  1
6 50 0  1
6 50 0.01  1
6 50 0.02  1
6 50 0.03  1
6 50 0.04  1
6 50 0.05  1
6 50 0.06  1
6 50 0.07  1
6 50 0.08  1
6 50 0.09  1
6 50 0.1  1
11 0 0  0
11 0 0.01  0
11 0 0.02  0
11 0 0.03  0
11 0 0.04  0
11 0 0.05  0
11 0 0.06  0
11 0 0.07  0
11 0 0.08  0
11 0 0.09  0
11 0 0.1  0
11 1 0  1
11 1 0.01  1
11 1 0.02  1
11 1 0.03  1
11 1 0.04  1
11 1 0.05  1
11 1 0.06  1
11 1 0.07  1
11 1 0.08  1
11 1 0.09  1
11 1 0.1  1
11 2 0  1
11 2 0.01  1
11 2 0.02  1
11 2 0.03  1
11 2 0.04  1
11 2 0.05  1
11 2 0.06  1
11 2 0.07  1
11 2 0.08  1
11 2 0.09  1
11 2 0.1  1
11 3 0  1
11 3 0.01  1
11 3 0.02  1
11 3 0.03  1
11 3 0.04  1
11 3 0.05  1
11 3 0.06  1
11 3 0.07  1
11 3 0.08  1
11 3 0.09  1
11 3 0.1  1
11 4 0  1
11 4 0.01  1
11 4 0.02  1
11 4 0.03  1
11 4 0.04  1
11 4 0.05  1
11 4 0.06  1
11 4 0.07  1
11 4 0.08  1
11 4 0.09  1
11 4 0.1  1
11 5 0  1
11 5 0.01  1
11 5 0.02  1
11 5 0.03  1
11 5 0.04  1
11 5 0.05  1
11 5 0.06  1
11 5 0.07  1
11 5 0.08  1
11 5 0.09  1
11 5 0.1  1
11 6 0  1
11 6 0.01  1
11 6 0.02  1
11 6 0.03  1
11 6 0.04  1
11 6 0.05  1
11 6 0.06  1
11 6 0.07  1
11 6 0.08  1
11 6 0.09  1
11 6 0.1  1
11 7 0  1
11 7 0.01  1
11 7 0.02  1
11 7 0.03  1
